K,K,K,K,K,W,M,M,W,L,L,L,L,L,L,L,W,W,SL,S,S,S
K,K,KN,K,K,W,M,M,W,L,L,L,L,L,L,L,W,W,S,SN,S,S
K,K,K,K,KR,W,MN,M,W,L,L,LN,L,L,L,L,W,W,S,S,S,S
K,K,K,K,K,W,M,M,W,L,L,L,L,L,L,L,W,W,W,S,S,S
W,W,W,W,W,W,M,M,W,L,L,L,L,L,L,L,W,W,W,W,W,W
W,W,W,W,W,W,MD,MR,W,L,LD,L,LD,L,L,L,W,W,W,W,W,W
D,D,D,D,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
D,D,D,D,W,W,W,W,W,W,W,W,W,W,W,W,W,W,FL,FU,F,F
D,DN,D,D,W,W,X,X,X,X,X,W,W,W,W,W,W,W,F,F,F,F
D,D,D,DR,W,W,X,X,X,X,X,W,W,H,H,H,H,W,F,F,F,F
D,D,D,DR,W,W,X,X,X,X,X,W,W,H,H,H,H,W,F,F,F,F
D,D,D,DR,W,W,X,X,X,X,X,W,W,H,H,H,H,W,F,F,F,F
D,D,D,D,W,W,X,X,X,X,X,W,W,H,H,H,H,W,F,F,F,F
W,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,W,F,F,F,F
W,W,W,W,W,W,W,W,W,W,W,W,W,H,HN,H,H,W,F,F,F,F
C,C,C,W,W,B,B,BU,B,B,W,W,W,H,H,H,H,W,F,FN,F,F
C,C,C,W,W,B,B,B,B,B,W,W,W,H,H,H,H,W,F,F,F,F
C,CN,C,W,W,B,B,BN,B,B,W,W,W,HL,H,H,H,W,F,F,F,F
C,C,C,CR,W,BL,B,B,B,B,W,W,W,H,H,H,H,W,F,F,F,F
C,C,C,C,W,B,B,B,B,B,W,W,W,H,H,H,H,W,F,F,F,F
C,C,C,W,W,B,B,B,B,B,W,W,W,H,H,H,H,W,W,W,W,W
